12/9/2017 4:54:10 PM : Starting Network Model Service...
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000034).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000035).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000036).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000037).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000038).
12/10/2017 12:43:14 PM : Applying delta to network model successfully finished.
12/10/2017 12:45:25 PM : Applying  delta to network model.
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000100000011).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000020000001a).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000020000001b).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000020000001c).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000020000001d).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000020000001e).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000020000001f).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000200000020).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000300000008).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000040000000e).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000040000000f).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000400000010).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000050000000a).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000050000000b).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000050000000c).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000060000000a).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000060000000b).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000060000000c).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000039).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000070000003a).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000070000003b).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000070000003c).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000070000003d).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000070000003e).
12/10/2017 12:45:25 PM : Inserting entity with GID (000000070000003f).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000040).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000041).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000042).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000043).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000044).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000045).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000046).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000047).
12/10/2017 12:45:25 PM : Inserting entity with GID (0000000700000048).
12/10/2017 12:45:31 PM : Applying delta to network model successfully finished.
12/10/2017 12:49:33 PM : Starting Network Model Service...
12/10/2017 12:49:35 PM : Inserting entity with GID (0000000100000001).
